source_a,title_a,source_b,title_b,similarity
HuffPost,Iranian Gunboats Fire On Tanker In Strait Of Hormuz As Iran Reimposes Restrictions,The Times of India,Iranian gunboats fire on tanker in Strait of Hormuz as Iran reimposes restrictions,1.0
HuffPost,Iranian Gunboats Fire On Tanker In Strait Of Hormuz As Iran Reimposes Restrictions,New York Post,"Iran reimposes restrictions on Strait of Hormuz, accusing US of violating deal to reopen it",0.453
The Times of India,Iranian gunboats fire on tanker in Strait of Hormuz as Iran reimposes restrictions,New York Post,"Iran reimposes restrictions on Strait of Hormuz, accusing US of violating deal to reopen it",0.453
HuffPost,Iranian Gunboats Fire On Tanker In Strait Of Hormuz As Iran Reimposes Restrictions,Associated Press,Iran reinstates restrictions on Strait of Hormuz amid US blockade,0.402
The Times of India,Iranian gunboats fire on tanker in Strait of Hormuz as Iran reimposes restrictions,Associated Press,Iran reinstates restrictions on Strait of Hormuz amid US blockade,0.402
New York Post,"Iran reimposes restrictions on Strait of Hormuz, accusing US of violating deal to reopen it",Associated Press,Iran reinstates restrictions on Strait of Hormuz amid US blockade,0.345
Fortune,"Iran closes Strait again, says it will be shut until Trump lifts blockade",Associated Press,Iran reinstates restrictions on Strait of Hormuz amid US blockade,0.299
CBS Sports,Every WNBA team's roster as training camp opens for 2026 season,Swish Appeal,WNBA training camps open today! Here’s a look at all 15 rosters and more,0.204
Al Jazeera English,Turkiye woos investors amid Iran war fallout in Gulf economies,Associated Press,Iran reinstates restrictions on Strait of Hormuz amid US blockade,0.183
New York Post,"Iran reimposes restrictions on Strait of Hormuz, accusing US of violating deal to reopen it",Middletown Press,The Latest: Trump hints at resuming attacks if ceasefire with Iran expires without a deal,0.155
The Times of India,Iranian gunboats fire on tanker in Strait of Hormuz as Iran reimposes restrictions,BusinessLine,Next round of US-Iran talks likely to be held in Pakistan on Monday: Iranian sources,0.153
HuffPost,Iranian Gunboats Fire On Tanker In Strait Of Hormuz As Iran Reimposes Restrictions,BusinessLine,Next round of US-Iran talks likely to be held in Pakistan on Monday: Iranian sources,0.153
HuffPost,Iranian Gunboats Fire On Tanker In Strait Of Hormuz As Iran Reimposes Restrictions,Fortune,"Iran closes Strait again, says it will be shut until Trump lifts blockade",0.143
The Times of India,Iranian gunboats fire on tanker in Strait of Hormuz as Iran reimposes restrictions,Fortune,"Iran closes Strait again, says it will be shut until Trump lifts blockade",0.143
Fortune,"Iran closes Strait again, says it will be shut until Trump lifts blockade",Middletown Press,The Latest: Trump hints at resuming attacks if ceasefire with Iran expires without a deal,0.137
New York Post,"Iran reimposes restrictions on Strait of Hormuz, accusing US of violating deal to reopen it",Fortune,"Iran closes Strait again, says it will be shut until Trump lifts blockade",0.123
Hurriyet Daily News,"Zelensky ready for potential meeting with Putin in Türkiye, says Ukrainian FM",Fortune,"Iran closes Strait again, says it will be shut until Trump lifts blockade",0.108
Blogspot.com,"Nordic Monitor: Turkey has been quietly preparing for a war, with Israel the primary target",Israelnationalnews.com,Turkey's economic takeover of Syria has already begun,0.102
